Week,Bitcoin: (United States)
2023-04-30,31
2023-05-07,30
2023-05-14,28
2023-05-21,27
2023-05-28,26
2023-06-04,30
2023-06-11,29
2023-06-18,35
2023-06-25,31
2023-07-02,29
2023-07-09,32
2023-07-16,28
2023-07-23,27
2023-07-30,26
2023-08-06,24
2023-08-13,31
2023-08-20,29
2023-08-27,28
2023-09-03,25
2023-09-10,23
2023-09-17,23
2023-09-24,22
2023-10-01,24
2023-10-08,23
2023-10-15,29
2023-10-22,47
2023-10-29,34
2023-11-05,37
2023-11-12,35
2023-11-19,33
2023-11-26,34
2023-12-03,56
2023-12-10,42
2023-12-17,39
2023-12-24,39
2023-12-31,48
2024-01-07,80
2024-01-14,42
2024-01-21,38
2024-01-28,31
2024-02-04,35
2024-02-11,54
2024-02-18,40
2024-02-25,80
2024-03-03,100
2024-03-10,97
2024-03-17,67
2024-03-24,58
2024-03-31,53
2024-04-07,56
2024-04-14,72
2024-04-21,47
2024-04-28,49